Word;POS;Polarity;#+;#-;#0;#iteration
acervação;nom;+;1;0;0;5;
aplauso;nom;+;3;0;0;3;
elogio;nom;+;1;0;0;3;
falta;nom;+;2;1;0;2;
omissão;nom;+;3;0;0;3;
saborear;vrb;+;3;0;0;3;
petiscar;vrb;+;2;0;0;3;
insípido;adj,nom;-;0;5;0;3;
chochinho;adj;-;0;4;0;4;
riso;nom;+;1;0;0;0;
rir;nom,vrb;+;1;0;0;1;
rápido;adj,adv;+;9;3;0;4;
voante;adj;-;1;2;0;4;
pantomima;nom;-;0;1;0;2;
mimodrama;nom;-;0;1;0;3;
livre;adj;A;3;3;0;3;
emancipado;adj;+;1;0;0;4;
reenviar;vrb;A;2;0;2;4;
repercutir;vrb;0;1;0;4;3;
quebra-cabeças;nom;-;0;2;0;3;
quebradeira;nom;A;1;1;0;3;
mostrar;vrb;+;1;0;0;2;
comprovar;vrb;+;5;0;1;3;
desfalcar;vrb;+;1;0;0;2;
maquiar;vrb;+;1;0;0;3;
exacto;adj;+;6;0;0;2;
próprio;adj;+;1;0;0;1;
libertar;vrb;+;2;1;1;3;
alforriar;vrb;+;2;0;0;4;
sólido;adj;+;2;1;0;2;
robusto;adj;+;7;0;0;2;
caução;nom;+;1;0;0;2;
seguro;nom,adj;+;1;0;0;1;
obstinado;adj,nom;-;1;6;0;3;
austinado;adj;-;0;3;0;4;
fragrante;adj;+;3;0;0;5;
redolente;adj;+;1;0;0;5;
garrido;nom,adj;+;7;0;0;4;
casquilho;nom,adj;+;5;0;0;5;
engraxar;vrb;+;1;0;0;4;
lustrar;vrb;+;4;0;0;4;
brilhante;adj;+;9;0;0;3;
flamejante;adj;+;2;0;0;4;
envolver;vrb;+;3;1;0;2;
mergulhar;vrb;+;4;2;2;3;
púcaro;nom;-;0;2;0;6;
coco;nom;-;0;1;0;6;
magnânimo;adj;+;2;0;0;2;
imperturbável;adj;+;4;0;0;3;
educar-se;vrb;A;1;0;1;3;
formar;vrb;0;2;0;4;2;
lorpa;nom,adj;-;0;3;0;3;
babanca;nom;-;0;3;0;4;
carimbo;nom;+;5;0;0;4;
rubricador;nom;+;1;0;0;5;
preia;nom;-;0;1;0;6;
presa;nom;-;0;2;0;5;
palhaço;nom;+;2;0;0;5;
faz-tudo;nom;+;2;0;0;6;
liberdade;nom;0;0;0;2;2;
latitude;nom;0;0;0;1;1;
escavar;vrb;+;3;0;2;3;
concavar;vrb;+;1;0;0;4;
cumprimento;nom;+;2;0;0;3;
cortesia;nom;+;2;0;0;2;
ardor;nom;-;1;3;0;3;
empenho;nom;+;3;2;0;3;
adiantar;vrb;+;3;0;2;3;
acelerar;vrb;+;2;0;0;3;
amotinador;nom,adj;+;2;1;0;5;
atumultuador;nom;+;1;0;0;6;
inconstante;adj;-;1;6;0;4;
voltário;adj;-;0;3;0;5;
acanhado;adj,nom;-;2;5;0;3;
encolhido;adj;A;2;2;0;4;
universalidade;nom;A;1;0;1;3;
universidade;nom;0;0;0;1;4;
vermelho;adj,nom;-;0;5;0;4;
rubicundo;adj;-;0;3;0;5;
recurso;nom;+;2;0;0;3;
partido;nom,adj;+;10;4;0;4;
degredado;nom,adj;-;0;2;0;5;
exilado;nom,adj;-;0;2;0;5;
domesticado;adj;+;1;0;0;4;
caparoeiro;adj;+;1;0;0;5;
caro;adj;+;3;2;0;3;
salgado;adj;A;2;2;0;4;
assustar;vrb;-;0;3;1;3;
espaventar;vrb;A;1;1;0;4;
agregar;vrb;+;4;0;3;3;
cooptar;vrb;+;1;0;0;4;
polir;vrb;+;5;1;2;3;
encrave;nom;-;0;1;0;7;
encravo;nom;-;0;1;0;6;
concreção;nom;A;1;1;0;4;
concreto;nom,adj;+;6;0;0;3;
borrão;nom;-;0;5;0;4;
pastelada;nom;-;0;2;0;3;
alimentação;nom;0;0;0;5;4;
mantença;nom;+;3;0;1;5;
cilada;nom;-;0;9;0;2;
trapola;nom;-;0;1;0;1;
ousar;vrb;+;2;0;0;4;
afoitar;vrb;+;4;0;0;4;
pairar;vrb;A;2;2;0;4;
flutuar;vrb;+;3;1;1;4;
irritar;vrb;+;2;0;1;2;
amostardar;vrb;+;3;0;0;3;
amolgadura;nom;-;0;2;0;4;
aboladura;nom;-;0;1;0;5;
apurar;vrb;+;4;0;0;2;
acurar;vrb;+;2;0;0;3;
insinuação;nom;A;2;2;0;4;
instilação;nom;+;1;0;0;3;
aceder;vrb;+;1;0;0;2;
subscrever;vrb;+;4;0;0;3;
malquerença;nom;-;0;1;0;3;
desgraça;nom;-;0;2;0;2;
acorrentar;vrb;A;1;1;0;3;
agrilhoar;vrb;-;0;2;1;2;
servilismo;nom;-;1;2;0;5;
capachice;nom;A;1;1;0;5;
religioso;adj,nom;+;4;0;0;3;
adorativo;adj;+;1;0;0;4;
conservar;vrb;+;5;0;3;3;
ter;vrb,nom;+;4;0;1;2;
habilidosamente;adv;+;1;0;0;12;
diplomaticamente;adv;+;1;0;0;13;
susceptível;adj;A;1;1;0;3;
sujeito;adj,nom;+;5;2;3;3;
raciocinar;vrb;+;4;0;0;3;
discursar;vrb;+;4;0;0;4;
alterar;vrb;0;2;1;3;2;
combalir;vrb;A;0;1;1;3;
subserviência;nom;-;0;1;0;4;
prostituta;nom;-;1;9;0;4;
cação;nom;-;0;2;0;5;
abater;vrb;-;2;9;0;2;
achatar;vrb;-;0;2;0;1;
rimar;vrb;+;1;0;0;4;
aconsoantar;vrb;+;1;0;0;5;
mal-humorado;adj;-;0;2;0;3;
rabugento;adj,nom;-;0;5;0;3;
vadiar;vrb;+;3;0;0;4;
bandurrear;vrb;+;1;0;0;5;
respeitabilidade;nom;+;2;0;0;4;
venerabilidade;nom;+;1;0;0;5;
seleccionar;vrb;+;2;0;0;3;
seccionar;vrb;+;2;0;0;4;
mocho;nom,adj;A;1;1;0;4;
frequentador;nom,adj;+;1;0;0;5;
habitué;nom;+;2;0;0;5;
patego;nom;-;0;2;0;4;
valentão;nom,adj;A;3;3;0;4;
tranca-ruas;nom;A;2;2;0;4;
agitado;adj;-;0;8;0;3;
trepidante;adj;-;0;2;0;4;
aborrecimento;nom;-;0;4;0;2;
fornicação;nom;-;1;2;0;3;
fraga;nom;-;0;3;0;4;
pena;nom;-;2;3;0;3;
rude;adj;-;1;8;0;3;
obtuso;adj;-;0;6;0;4;
reagir;vrb;+;2;0;0;3;
engravitar-se;vrb;+;3;0;0;4;
procedente;adj;+;3;0;0;3;
producente;adj;+;3;0;0;4;
arrocho;nom;-;0;1;0;2;
tocho;nom;-;0;2;0;3;
prosperar;vrb;+;3;0;0;2;
crescer;vrb;+;7;0;0;2;
discutir;vrb;+;2;0;1;4;
controverter;vrb;+;2;1;0;4;
queimar;vrb;+;4;3;1;3;
estonar;vrb;A;2;0;2;3;
borbotar;vrb;+;1;0;0;3;
referver;vrb;+;1;0;0;3;
gotejar;vrb;+;2;0;1;4;
lacrimejar;vrb;+;1;0;0;5;
bater;vrb;+;4;0;1;3;
dar;vrb;0;2;0;6;2;
prevenido;adj;+;1;0;0;3;
precavido;adj;+;4;0;0;3;
conveniência;nom;+;2;0;0;2;
justeza;nom;-;2;3;0;3;
ziguezagues;nom;+;1;0;0;4;
bordo;nom;+;2;0;0;3;
moderação;nom;+;8;0;0;3;
sobriedade;nom;+;2;1;0;2;
reintegrar;vrb;A;1;0;1;3;
andamento;nom;0;0;0;1;1;
dócil;adj;+;5;1;0;4;
cabresteiro;adj;+;1;0;0;5;
sufocante;adj;-;0;1;0;3;
abafador;adj,nom;-;0;3;0;4;
célebre;adj;+;6;1;0;3;
afamado;adj;+;3;0;0;3;
estagnar;vrb;-;0;1;0;4;
arremansar-se;vrb;-;0;1;0;5;
pingalim;nom;A;1;1;0;6;
barbatana;nom;-;0;1;0;5;
ortografar;vrb;0;0;0;1;4;
grafar;vrb;0;0;0;1;3;
surripiar;vrb;+;2;0;0;3;
bispar;vrb;+;1;0;0;2;
galhofeiro;adj,nom;+;4;1;0;4;
faceto;adj;+;1;0;0;3;
penetrar;vrb;+;1;0;0;2;
imergir;vrb;A;1;1;0;3;
larápio;nom,adj;-;2;4;0;4;
rato;nom,adj;+;1;0;0;4;
desonrar;vrb;-;0;2;0;2;
enodoar;vrb;-;0;4;1;3;
cobertor;nom;+;1;0;0;4;
coberta;nom;+;2;1;0;3;
dissertação;nom;A;1;1;0;4;
discurso;nom;+;4;0;0;3;
furar;vrb;A;1;1;1;2;
minar;vrb;+;4;1;1;3;
coca-bichinhos;nom,adj;+;1;0;0;5;
bicheiro;nom,adj;+;1;0;0;6;
pancada;nom;+;4;3;0;3;
tapona;nom;-;1;3;0;4;
descanso;nom;+;2;0;0;3;
sossega;nom;+;3;0;0;4;
encomendar;vrb;0;0;0;1;4;
remeter;vrb;0;2;1;4;3;
ressarcir;vrb;+;1;0;0;3;
desvanecimento;nom;A;1;1;0;3;
envaidecimento;nom;-;0;1;0;3;
doidivanas;nom,adj;A;1;1;0;3;
zaranza;nom,adj;-;0;2;0;4;
ruivo;adj;A;1;1;0;5;
circunvizinhança;nom;+;1;0;0;3;
termo;nom;+;4;0;0;2;
dizer;vrb;0;1;0;3;3;
dirigir;vrb;0;2;0;6;2;
sossego;nom;+;4;0;0;3;
calma;nom;+;3;1;0;4;
comparecer;vrb;0;1;0;2;4;
ir;vrb;+;5;1;2;3;
oportuno;adj;+;5;0;0;2;
propício;adj;+;5;0;0;2;
entregar-se;vrb;0;2;1;3;3;
abandonar;vrb;A;2;2;2;3;
guardar;vrb;+;5;0;1;3;
pôr;vrb;0;3;0;5;2;
melieiro;adj;+;1;0;0;4;
parecer;vrb,nom;+;6;0;0;2;
cheirar;vrb;+;2;0;0;2;
fadiga;nom;A;1;1;0;3;
estafa;nom;-;0;3;0;3;
concessão;nom;+;2;0;0;3;
ponta;nom;+;1;0;0;2;
legitimar;vrb;+;2;0;0;5;
justificar;vrb;+;5;0;0;4;
oferecer-se;vrb;0;0;0;1;2;
propor;vrb;0;0;0;1;1;
assinalar;vrb,nom;+;3;0;0;2;
estremar;vrb;+;2;0;0;2;
persuasivo;adj,nom;+;2;0;0;3;
poderoso;adj;+;1;0;0;2;
absurdo;adj,nom;-;2;8;0;3;
kafkiano;adj;-;0;2;0;3;
adeleiro;nom;-;0;2;0;8;
trapeiro;nom;-;0;2;0;9;
predomínio;nom;+;5;0;0;4;
império;nom;+;3;0;0;4;
pescador;nom;0;0;0;1;4;
marítimo;nom,adj;0;0;0;2;3;
desatarraxar;vrb;A;1;1;0;4;
desaparafusar;vrb;+;1;0;0;4;
mágico;adj,nom;+;4;3;0;4;
encantado;adj;+;2;1;0;4;
repisado;adj;-;0;2;0;4;
matraqueado;adj;-;0;1;0;3;
aprovar;vrb;+;1;0;0;2;
sancionar;vrb;+;4;0;0;3;
sorte;nom;+;2;0;0;1;
sancadilha;nom;+;1;0;0;2;
estabelecer;vrb;0;0;0;6;3;
dispor;vrb,nom;0;4;0;5;2;
agitar-se;vrb;A;4;0;4;3;
tumultuar;vrb;+;3;0;0;3;
sobrenatural;adj;+;3;0;0;3;
ultra-humano;adj;+;3;0;0;3;
barulho;nom;-;1;7;0;2;
farfalheira;nom;-;0;1;0;3;
enfaixar;vrb;A;1;0;1;3;
aviso;nom;+;8;0;0;3;
ameaça;nom;-;1;2;0;4;
indicar;vrb;0;4;0;5;2;
marcar;vrb;+;5;0;1;2;
comprimir;vrb;A;0;2;2;2;
premer;vrb;A;0;1;1;2;
reunir;vrb;0;7;0;8;3;
agrupar;vrb;A;1;0;1;3;
tolo;nom,adj;-;0;1;0;2;
idiota;nom,adj;-;0;5;0;3;
peta;nom;-;0;1;0;1;
mentira;nom;-;1;8;0;2;
tratante;nom;-;0;4;0;3;
vergalho;nom;-;0;2;0;4;
alastrar-se;vrb;A;1;0;1;3;
espalhar;vrb;0;1;0;4;2;
projecto;nom;+;6;0;0;3;
desígnio;nom;+;8;0;0;3;
sarabanda;nom;-;1;4;0;5;
retambana;nom;-;0;1;0;5;
presunção;nom;+;2;1;0;2;
ganja;nom;A;1;1;0;3;
alhear;vrb;+;4;0;0;4;
evagação;nom;+;1;0;0;3;
devastar;vrb;-;0;4;0;2;
estragar;vrb;+;8;6;0;3;
fronteira;nom;+;4;0;0;3;
marco;nom;+;3;0;1;3;
escavado;adj;+;2;0;0;4;
solapado;adj;A;1;1;0;3;
desmesurado;adj;0;0;0;2;3;
cavalar;adj;0;0;0;2;3;
desviado;adj;+;3;2;0;4;
desmandado;adj;-;0;2;1;3;
suportar;vrb;+;10;1;1;3;
digerir;vrb;+;1;0;0;2;
sistema;nom;+;2;1;0;2;
teor;nom;+;6;0;0;3;
consolo;nom;+;2;0;0;3;
mitigação;nom;+;2;0;0;4;
pálido;adj;-;0;1;0;2;
descorado;adj;-;0;2;0;3;
originar;vrb;0;0;0;2;2;
motivar;vrb;0;0;0;2;2;
excelente;adj;+;7;0;0;2;
especial;adj;+;5;0;0;3;
inocente;adj;+;5;1;0;3;
ingénuo;adj,nom;A;1;1;0;2;
hábil;adj;+;4;1;0;3;
giro;adj,nom;A;1;1;0;2;
vozearia;nom;-;0;1;0;1;
grulhada;nom;-;0;1;0;2;
distinguir-se;vrb;+;10;0;0;3;
extremar;vrb;+;3;0;0;2;
pactuado;adj;+;1;0;0;4;
firmado;adj;+;1;0;0;3;
arreliado;adj;-;0;2;0;4;
perro;adj,nom;-;1;4;0;4;
fermentado;adj;-;0;2;0;4;
choco;adj,nom;-;0;4;1;3;
combinar-se;vrb;0;0;0;1;3;
casar;vrb;A;2;0;2;3;
conformidade;nom;+;4;0;0;3;
relação;nom;+;5;0;0;3;
prostrado;adj;-;0;5;0;4;
quebrado;adj,nom;-;1;2;0;3;
nojento;adj;-;0;8;0;4;
surrento;adj;-;0;2;0;4;
inserido;adj;+;2;0;0;4;
metido;adj;+;6;1;0;4;
soberbo;adj;+;4;0;0;3;
altaneiro;adj;+;1;0;0;4;
verde;adj,nom;+;4;1;0;3;
virente;adj;+;4;0;0;3;
corajoso;adj;+;6;0;0;3;
viril;adj;+;3;0;0;4;
escarrar;vrb;0;0;0;2;3;
gosmar;vrb;0;0;0;1;4;
enfadar-se;vrb;+;3;0;0;4;
enojar;vrb;+;3;0;0;4;
pedregoso;adj;-;0;1;0;3;
sáxeo;adj;-;0;2;0;3;
bebedeira;nom;-;0;3;0;3;
pala;nom;-;1;2;0;2;
fundir;vrb;A;2;3;3;3;
abrasador;adj;-;0;1;0;3;
fogoso;adj;-;0;1;0;2;
contiguidade;nom;+;2;0;0;5;
proximidade;nom;A;1;1;0;4;
adoentado;adj;-;0;3;0;3;
amormado;adj;-;0;1;0;4;
assinante;nom,adj;+;1;0;0;5;
subscritor;nom;+;1;0;0;6;
permanecer;vrb;A;2;0;2;3;
ficar;vrb;0;0;0;3;2;
domínio;nom;+;8;1;1;3;
unha;nom;+;4;0;0;3;
coronha;nom;+;1;0;0;5;
cronha;nom;+;2;0;0;4;
germe;nom;+;2;0;0;4;
plântula;nom;+;1;0;0;5;
transformação;nom;A;1;0;1;2;
reviravolta;nom;+;2;0;0;3;
fascínio;nom;-;1;2;0;3;
feitiço;nom,adj;A;1;1;0;3;
cercar;vrb;+;3;1;2;3;
bordar;vrb;+;4;0;1;3;
celebrar;vrb;+;1;0;0;2;
exaltar;vrb;+;6;0;0;1;
definhar;vrb;A;1;0;1;2;
sargaço;nom;+;2;0;0;6;
algaço;nom;+;1;0;0;7;
comando;nom;+;1;0;0;3;
batuta;nom,adj;+;1;0;0;2;
tolice;nom;-;1;3;0;3;
parbiça;nom,adj;-;0;2;0;3;
cessar;vrb;+;4;1;0;3;
descontinuar;vrb;+;2;0;0;4;
apelidar;vrb;+;1;0;0;3;
cognominar;vrb;+;2;0;0;4;
replicar;vrb;0;1;0;4;2;
redarguir;vrb;A;3;0;3;3;
desassossegar;vrb;-;1;3;1;3;
turvar;vrb;-;0;3;0;3;
medrança;nom;0;0;0;2;1;
roncadura;nom;A;1;1;0;5;
roncaria;nom;+;1;0;0;4;
protestar;vrb;A;1;0;1;3;
queixar-se;vrb;+;6;2;0;4;
brasileirice;nom;+;1;0;0;5;
brasileirada;nom;+;1;0;0;6;
nutritivo;adj;+;1;0;0;4;
alimentício;adj;+;1;0;0;5;
iludir;vrb;A;2;2;1;3;
emburricar;vrb;+;1;0;0;4;
retraimento;nom;-;1;2;0;4;
retranca;nom;-;0;1;0;3;
hercúleo;adj;+;3;0;0;3;
atlântico;adj;+;1;0;0;4;
contendor;nom;-;0;3;0;4;
contendedor;nom;-;0;2;0;4;
aflição;nom;-;0;1;0;2;
aperto;nom;-;0;5;0;3;
inspiração;nom;+;3;2;0;2;
voz;nom;-;0;1;0;2;
certificar-se;vrb;+;1;0;0;3;
inteirar;vrb;+;3;0;0;3;
farraparia;nom;-;0;3;0;6;
farandolagem;nom;-;0;1;0;5;
caprichoso;adj;-;0;3;0;3;
impertinente;adj,nom;-;1;7;0;3;
arranjado;adj;+;2;0;0;3;
preparado;adj,nom;+;9;0;0;3;
dominar;vrb;0;4;4;7;3;
manejar;vrb;0;0;0;1;2;
adiamento;nom;0;1;1;4;4;
dilação;nom;0;0;2;3;4;
descida;nom;+;3;0;0;2;
baixada;nom;+;1;0;0;3;
seduzir;vrb;+;3;0;1;3;
cativar;vrb;+;7;0;2;3;
patife;nom,adj;-;0;8;0;3;
canalha;nom,adj;-;0;3;0;4;
aguilhão;nom;A;3;3;0;4;
esmola;nom;+;5;1;0;4;
vaticinar;vrb;+;5;0;0;4;
profetizar;vrb;+;3;0;0;3;
regra;nom;+;8;1;0;3;
trilho;nom;+;4;0;1;4;
zanga;nom;-;2;5;0;3;
ferro;nom;-;1;3;0;3;
marrada;nom;-;0;2;0;4;
gaitada;nom;-;0;2;0;5;
anónimo;adj;-;0;1;0;5;
avulso;adj;-;1;2;0;4;
agudo;adj;+;7;3;0;3;
fino;adj,nom;+;10;1;0;3;
característica;nom;+;4;0;0;3;
apanágio;nom;+;4;0;0;3;
inábil;adj;-;0;1;0;3;
inapto;adj;-;0;4;0;4;
muco;nom;+;1;0;0;7;
ranho;nom;+;1;0;0;6;
ofendido;adj,nom;+;3;2;0;4;
sentido;adj,nom;+;12;2;0;3;
torpe;adj;-;0;11;0;4;
cenoso;adj;-;0;2;0;4;
oposição;nom;-;0;1;0;3;
embate;nom;-;0;5;0;3;
quebradiço;adj;-;0;2;0;4;
friável;adj;-;0;1;0;5;
farpa;nom;-;1;3;0;5;
estilha;nom;+;1;0;0;4;
correcto;adj;+;7;0;0;3;
alinhado;adj;+;4;0;0;4;
disposto;adj,nom;+;5;0;0;3;
prono;adj;+;2;0;0;3;
terapêutico;adj;+;1;0;0;6;
medicinal;adj;+;1;0;0;5;
inevitavelmente;adv;0;0;0;2;5;
fatalmente;adv;0;0;0;2;6;
capricho;nom;A;2;2;0;3;
atrevimento;nom;+;5;0;1;3;
desfaçatez;nom;+;3;0;0;4;
permissão;nom;+;4;0;1;3;
consentimento;nom;+;8;0;1;4;
pesquisa;nom;+;8;0;0;5;
busca;nom;+;3;0;0;4;
brutificar;vrb;+;2;0;0;5;
bestificar;vrb;+;3;0;0;6;
preparação;nom;+;5;0;1;3;
confecção;nom;+;2;0;0;4;
recepção;nom;+;4;0;0;5;
acolhimento;nom;+;5;0;0;4;
puxo;nom;+;1;0;0;7;
tenesmo;nom;+;1;0;0;8;
amofinar-se;vrb;A;1;1;0;3;
comer;vrb,nom;+;5;0;3;3;
estandarte;nom;+;6;0;0;4;
vexilo;nom;+;2;0;0;5;
assinatura;nom;+;2;0;0;3;
subscrição;nom;+;1;0;0;4;
variável;adj;-;0;3;0;4;
invariável;adj;+;4;0;0;3;
vasilha;nom;+;2;0;0;6;
recipiente;nom;+;1;0;0;5;
arranjar;vrb;0;0;0;2;1;
amanhar;vrb;0;0;0;4;2;
oblíquo;adj;-;2;5;0;3;
diagonal;adj,nom;A;1;1;0;4;
enrubescer;vrb;-;0;1;0;3;
vermelhecer;vrb;-;0;2;0;3;
conter;vrb;+;3;0;1;2;
deter;vrb;+;5;0;0;3;
anotação;nom;+;2;0;0;4;
notação;nom;+;2;0;0;5;
saliente;adj;+;3;0;0;3;
saltado;adj;+;1;0;0;4;
feitor;nom,adj;+;2;0;0;4;
fazedor;nom,adj;+;1;0;0;5;
exceder;vrb;+;9;1;0;3;
transcender;vrb;+;3;0;0;4;
irresoluto;adj;-;0;5;0;4;
engadanhado;adj;-;0;2;0;5;
admoestação;nom;+;6;2;0;4;
corrigenda;nom;+;1;0;0;5;
indolente;adj,nom;-;1;4;0;3;
ronceiro;adj;-;0;3;0;4;
pensativo;adj;+;3;0;0;4;
desforrar;vrb;+;2;0;0;4;
seco;adj;-;0;4;1;3;
enxuto;adj;-;1;2;0;3;
desconfiado;adj;A;3;3;0;4;
ressabiado;adj;A;2;2;0;4;
aspecto;nom;+;8;1;0;3;
fachada;nom;+;2;0;0;3;
tormentoso;adj;-;0;1;0;2;
proceloso;adj;-;0;4;0;3;
firme;adj;+;1;0;0;2;
intrépido;adj;A;1;1;0;3;
movimentar;vrb;0;1;0;5;3;
accionar;vrb;0;0;0;2;3;
lisonjeiro;adj,nom;+;1;0;0;2;
elogioso;adj;+;1;0;0;3;
planície;nom;+;3;0;0;4;
raso;nom,adj;+;3;1;0;3;
descompostura;nom;-;1;5;0;4;
bigode;nom;-;0;1;0;5;
ocultação;nom;-;0;1;0;3;
furtadela;nom;-;0;1;0;4;
árbitro;nom;+;2;0;0;5;
louvado;nom,adj;+;1;0;0;4;
esgotar-se;vrb;A;1;0;1;3;
estancar;vrb;+;7;1;0;4;
nota;nom;+;3;2;0;3;
verba;nom;+;4;0;0;4;
catalogar;vrb;+;2;0;1;3;
listar;vrb;A;1;0;1;4;
afronta;nom;-;0;4;0;3;
insulto;nom;-;0;5;0;3;
desordem;nom;-;0;7;0;2;
conturbação;nom;-;0;4;0;3;
atencioso;adj;+;1;0;0;3;
mesurado;adj;+;4;0;0;3;
levantar-se;vrb;+;2;0;0;2;
alçar;vrb;+;1;0;0;1;
cumprimentar;vrb;+;5;0;0;3;
cortejar;vrb;+;2;0;0;3;
julgar;vrb;+;9;0;2;2;
reputar;vrb;+;5;0;0;3;
extrair;vrb;+;2;0;0;2;
safar;vrb;+;3;0;0;3;
culto;nom,adj;+;1;0;0;3;
amorismo;nom;+;1;0;0;4;
pátrio;adj;+;2;0;0;4;
nacional;adj;+;1;0;0;3;
menosprezo;nom;+;2;0;0;2;
subestimação;nom;+;1;0;0;3;
aparelhos;nom;-;0;1;0;2;
aparato;nom;-;0;1;0;1;
montar;vrb;+;7;0;3;3;
cobrir;vrb;+;6;0;2;3;
enlear;vrb;+;2;1;0;2;
singularidade;nom;+;1;0;0;3;
originalidade;nom;+;3;0;0;3;
bofe;nom;-;0;2;0;6;
boche;nom;-;0;2;0;5;
experimentar;vrb;+;3;0;0;2;
ensaiar;vrb;+;3;0;2;3;
constranger-se;vrb;-;0;2;0;3;
violentar;vrb;-;0;2;0;2;
acabrunhar;vrb;-;0;1;0;1;
sobrecarregar;vrb;-;0;3;0;2;
